ID,time,evid,amt,cmt,ss,ii,addl,rate,LAGT,MODE,DUR2,RAT2,BIOAV,DV,CP
1,0,1,100,1,0,24,3,0,0,0,2,10,1,0,0
1,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0
1,1,0,0,0,0,0,0,0,0,0,2,10,1,3754.4,3754.4
1,2,0,0,0,0,0,0,0,0,0,2,10,1,4391.2,4391.2
1,3,0,0,0,0,0,0,0,0,0,2,10,1,4343.2,4343.2
1,4,0,0,0,0,0,0,0,0,0,2,10,1,4152.5,4152.5
1,5,0,0,0,0,0,0,0,0,0,2,10,1,3939.5,3939.5
1,6,0,0,0,0,0,0,0,0,0,2,10,1,3730.8,3730.8
1,7,0,0,0,0,0,0,0,0,0,2,10,1,3531.6,3531.6
1,8,0,0,0,0,0,0,0,0,0,2,10,1,3342.7,3342.7
1,9,0,0,0,0,0,0,0,0,0,2,10,1,3163.9,3163.9
1,10,0,0,0,0,0,0,0,0,0,2,10,1,2994.5,2994.5
1,11,0,0,0,0,0,0,0,0,0,2,10,1,2834.3,2834.3
1,12,0,0,0,0,0,0,0,0,0,2,10,1,2682.6,2682.6
1,13,0,0,0,0,0,0,0,0,0,2,10,1,2539.1,2539.1
1,14,0,0,0,0,0,0,0,0,0,2,10,1,2403.2,2403.2
1,15,0,0,0,0,0,0,0,0,0,2,10,1,2274.6,2274.6
1,16,0,0,0,0,0,0,0,0,0,2,10,1,2152.9,2152.9
1,17,0,0,0,0,0,0,0,0,0,2,10,1,2037.6,2037.6
1,18,0,0,0,0,0,0,0,0,0,2,10,1,1928.6,1928.6
1,19,0,0,0,0,0,0,0,0,0,2,10,1,1825.4,1825.4
1,20,0,0,0,0,0,0,0,0,0,2,10,1,1727.7,1727.7
1,21,0,0,0,0,0,0,0,0,0,2,10,1,1635.2,1635.2
1,22,0,0,0,0,0,0,0,0,0,2,10,1,1547.7,1547.7
1,23,0,0,0,0,0,0,0,0,0,2,10,1,1464.9,1464.9
1,24,0,0,0,0,0,0,0,0,0,2,10,1,1386.5,1386.5
1,25,0,0,0,0,0,0,0,0,0,2,10,1,5066.8,5066.8
1,26,0,0,0,0,0,0,0,0,0,2,10,1,5633.3,5633.3
1,27,0,0,0,0,0,0,0,0,0,2,10,1,5518.8,5518.8
1,28,0,0,0,0,0,0,0,0,0,2,10,1,5265.2,5265.2
1,29,0,0,0,0,0,0,0,0,0,2,10,1,4992.7,4992.7
1,30,0,0,0,0,0,0,0,0,0,2,10,1,4727.6,4727.6
1,31,0,0,0,0,0,0,0,0,0,2,10,1,4475.1,4475.1
1,32,0,0,0,0,0,0,0,0,0,2,10,1,4235.7,4235.7
1,33,0,0,0,0,0,0,0,0,0,2,10,1,4009,4009
1,34,0,0,0,0,0,0,0,0,0,2,10,1,3794.5,3794.5
1,35,0,0,0,0,0,0,0,0,0,2,10,1,3591.4,3591.4
1,36,0,0,0,0,0,0,0,0,0,2,10,1,3399.2,3399.2
1,37,0,0,0,0,0,0,0,0,0,2,10,1,3217.3,3217.3
