C,ID,time,evid,amt,cmt,ss,ii,addl,rate,LAGT,MODE,DUR2,RAT2,BIOAV,DV,CP
.,1,0,1,100,1,0,24,3,0,0,0,2,10,1,.,0
.,1,0,0,0,2,0,0,0,0,0,0,2,10,1,.,0
.,1,1,0,0,2,0,0,0,0,0,0,2,10,1,.,3754.4
.,1,2,0,0,2,0,0,0,0,0,0,2,10,1,.,4391.2
.,1,3,0,0,2,0,0,0,0,0,0,2,10,1,.,4343.2
.,1,4,0,0,2,0,0,0,0,0,0,2,10,1,.,4152.5
.,1,5,0,0,2,0,0,0,0,0,0,2,10,1,.,3939.5
.,1,6,0,0,2,0,0,0,0,0,0,2,10,1,.,3730.8
.,1,7,0,0,2,0,0,0,0,0,0,2,10,1,.,3531.6
.,1,8,0,0,2,0,0,0,0,0,0,2,10,1,.,3342.7
.,1,9,0,0,2,0,0,0,0,0,0,2,10,1,.,3163.9
.,1,10,0,0,2,0,0,0,0,0,0,2,10,1,.,2994.5
.,1,11,0,0,2,0,0,0,0,0,0,2,10,1,.,2834.3
.,1,12,0,0,2,0,0,0,0,0,0,2,10,1,.,2682.6
.,1,13,0,0,2,0,0,0,0,0,0,2,10,1,.,2539.1
.,1,14,0,0,2,0,0,0,0,0,0,2,10,1,.,2403.2
.,1,15,0,0,2,0,0,0,0,0,0,2,10,1,.,2274.6
.,1,16,0,0,2,0,0,0,0,0,0,2,10,1,.,2152.9
.,1,17,0,0,2,0,0,0,0,0,0,2,10,1,.,2037.6
.,1,18,0,0,2,0,0,0,0,0,0,2,10,1,.,1928.6
.,1,19,0,0,2,0,0,0,0,0,0,2,10,1,.,1825.4
.,1,20,0,0,2,0,0,0,0,0,0,2,10,1,.,1727.7
.,1,21,0,0,2,0,0,0,0,0,0,2,10,1,.,1635.2
.,1,22,0,0,2,0,0,0,0,0,0,2,10,1,.,1547.7
.,1,23,0,0,2,0,0,0,0,0,0,2,10,1,.,1464.9
.,1,24,0,0,2,0,0,0,0,0,0,2,10,1,.,1386.5
.,1,25,0,0,2,0,0,0,0,0,0,2,10,1,.,5066.8
.,1,26,0,0,2,0,0,0,0,0,0,2,10,1,.,5633.3
.,1,27,0,0,2,0,0,0,0,0,0,2,10,1,.,5518.8
.,1,28,0,0,2,0,0,0,0,0,0,2,10,1,.,5265.2
.,1,29,0,0,2,0,0,0,0,0,0,2,10,1,.,4992.7
.,1,30,0,0,2,0,0,0,0,0,0,2,10,1,.,4727.6
.,1,31,0,0,2,0,0,0,0,0,0,2,10,1,.,4475.1
.,1,32,0,0,2,0,0,0,0,0,0,2,10,1,.,4235.7
.,1,33,0,0,2,0,0,0,0,0,0,2,10,1,.,4009
.,1,34,0,0,2,0,0,0,0,0,0,2,10,1,.,3794.5
.,1,35,0,0,2,0,0,0,0,0,0,2,10,1,.,3591.4
.,1,36,0,0,2,0,0,0,0,0,0,2,10,1,.,3399.2
.,1,37,0,0,2,0,0,0,0,0,0,2,10,1,.,3217.3
.,1,38,0,0,2,0,0,0,0,0,0,2,10,1,.,3045.2
.,1,39,0,0,2,0,0,0,0,0,0,2,10,1,.,2882.2
.,1,40,0,0,2,0,0,0,0,0,0,2,10,1,.,2728
.,1,41,0,0,2,0,0,0,0,0,0,2,10,1,.,2582
.,1,42,0,0,2,0,0,0,0,0,0,2,10,1,.,2443.8
.,1,43,0,0,2,0,0,0,0,0,0,2,10,1,.,2313
.,1,44,0,0,2,0,0,0,0,0,0,2,10,1,.,2189.2
.,1,45,0,0,2,0,0,0,0,0,0,2,10,1,.,2072.1
.,1,46,0,0,2,0,0,0,0,0,0,2,10,1,.,1961.2
.,1,47,0,0,2,0,0,0,0,0,0,2,10,1,.,1856.2
.,1,48,0,0,2,0,0,0,0,0,0,2,10,1,.,1756.9
.,1,49,0,0,2,0,0,0,0,0,0,2,10,1,.,5417.3
.,1,50,0,0,2,0,0,0,0,0,0,2,10,1,.,5965.1
.,1,51,0,0,2,0,0,0,0,0,0,2,10,1,.,5832.8
.,1,52,0,0,2,0,0,0,0,0,0,2,10,1,.,5562.4
.,1,53,0,0,2,0,0,0,0,0,0,2,10,1,.,5274
.,1,54,0,0,2,0,0,0,0,0,0,2,10,1,.,4993.9
.,1,55,0,0,2,0,0,0,0,0,0,2,10,1,.,4727.1
.,1,56,0,0,2,0,0,0,0,0,0,2,10,1,.,4474.2
.,1,57,0,0,2,0,0,0,0,0,0,2,10,1,.,4234.8
.,1,58,0,0,2,0,0,0,0,0,0,2,10,1,.,4008.2
.,1,59,0,0,2,0,0,0,0,0,0,2,10,1,.,3793.7
.,1,60,0,0,2,0,0,0,0,0,0,2,10,1,.,3590.7
.,1,61,0,0,2,0,0,0,0,0,0,2,10,1,.,3398.5
.,1,62,0,0,2,0,0,0,0,0,0,2,10,1,.,3216.7
.,1,63,0,0,2,0,0,0,0,0,0,2,10,1,.,3044.5
.,1,64,0,0,2,0,0,0,0,0,0,2,10,1,.,2881.6
.,1,65,0,0,2,0,0,0,0,0,0,2,10,1,.,2727.4
.,1,66,0,0,2,0,0,0,0,0,0,2,10,1,.,2581.4
.,1,67,0,0,2,0,0,0,0,0,0,2,10,1,.,2443.3
.,1,68,0,0,2,0,0,0,0,0,0,2,10,1,.,2312.5
.,1,69,0,0,2,0,0,0,0,0,0,2,10,1,.,2188.8
.,1,70,0,0,2,0,0,0,0,0,0,2,10,1,.,2071.6
.,1,71,0,0,2,0,0,0,0,0,0,2,10,1,.,1960.8
.,1,72,0,0,2,0,0,0,0,0,0,2,10,1,.,1855.8
.,1,73,0,0,2,0,0,0,0,0,0,2,10,1,.,5511
.,1,74,0,0,2,0,0,0,0,0,0,2,10,1,.,6053.8
.,1,75,0,0,2,0,0,0,0,0,0,2,10,1,.,5916.7
.,1,76,0,0,2,0,0,0,0,0,0,2,10,1,.,5641.8
.,1,77,0,0,2,0,0,0,0,0,0,2,10,1,.,5349.2
.,1,78,0,0,2,0,0,0,0,0,0,2,10,1,.,5065
.,1,79,0,0,2,0,0,0,0,0,0,2,10,1,.,4794.4
.,1,80,0,0,2,0,0,0,0,0,0,2,10,1,.,4538
.,1,81,0,0,2,0,0,0,0,0,0,2,10,1,.,4295.1
.,1,82,0,0,2,0,0,0,0,0,0,2,10,1,.,4065.3
.,1,83,0,0,2,0,0,0,0,0,0,2,10,1,.,3847.7
.,1,84,0,0,2,0,0,0,0,0,0,2,10,1,.,3641.8
.,1,85,0,0,2,0,0,0,0,0,0,2,10,1,.,3446.9
.,1,86,0,0,2,0,0,0,0,0,0,2,10,1,.,3262.5
.,1,87,0,0,2,0,0,0,0,0,0,2,10,1,.,3087.9
.,1,88,0,0,2,0,0,0,0,0,0,2,10,1,.,2922.6
.,1,89,0,0,2,0,0,0,0,0,0,2,10,1,.,2766.2
.,1,90,0,0,2,0,0,0,0,0,0,2,10,1,.,2618.2
.,1,91,0,0,2,0,0,0,0,0,0,2,10,1,.,2478.1
.,1,92,0,0,2,0,0,0,0,0,0,2,10,1,.,2345.5
.,1,93,0,0,2,0,0,0,0,0,0,2,10,1,.,2219.9
.,1,94,0,0,2,0,0,0,0,0,0,2,10,1,.,2101.1
.,1,95,0,0,2,0,0,0,0,0,0,2,10,1,.,1988.7
.,1,96,0,0,2,0,0,0,0,0,0,2,10,1,.,1882.3
.,1,97,0,0,2,0,0,0,0,0,0,2,10,1,.,1781.5
.,1,98,0,0,2,0,0,0,0,0,0,2,10,1,.,1686.2
.,1,99,0,0,2,0,0,0,0,0,0,2,10,1,.,1596
.,1,100,0,0,2,0,0,0,0,0,0,2,10,1,.,1510.6
.,1,101,0,0,2,0,0,0,0,0,0,2,10,1,.,1429.7
.,1,102,0,0,2,0,0,0,0,0,0,2,10,1,.,1353.2
.,1,103,0,0,2,0,0,0,0,0,0,2,10,1,.,1280.8
.,1,104,0,0,2,0,0,0,0,0,0,2,10,1,.,1212.3
.,1,105,0,0,2,0,0,0,0,0,0,2,10,1,.,1147.4
.,1,106,0,0,2,0,0,0,0,0,0,2,10,1,.,1086
.,1,107,0,0,2,0,0,0,0,0,0,2,10,1,.,1027.9
.,1,108,0,0,2,0,0,0,0,0,0,2,10,1,.,972.86
.,1,109,0,0,2,0,0,0,0,0,0,2,10,1,.,920.8
.,1,110,0,0,2,0,0,0,0,0,0,2,10,1,.,871.52
.,1,111,0,0,2,0,0,0,0,0,0,2,10,1,.,824.88
.,1,112,0,0,2,0,0,0,0,0,0,2,10,1,.,780.74
.,1,113,0,0,2,0,0,0,0,0,0,2,10,1,.,738.96
.,1,114,0,0,2,0,0,0,0,0,0,2,10,1,.,699.41
.,1,115,0,0,2,0,0,0,0,0,0,2,10,1,.,661.98
.,1,116,0,0,2,0,0,0,0,0,0,2,10,1,.,626.56
.,1,117,0,0,2,0,0,0,0,0,0,2,10,1,.,593.03
.,1,118,0,0,2,0,0,0,0,0,0,2,10,1,.,561.29
.,1,119,0,0,2,0,0,0,0,0,0,2,10,1,.,531.25
.,1,120,0,0,2,0,0,0,0,0,0,2,10,1,.,502.82
.,1,121,0,0,2,0,0,0,0,0,0,2,10,1,.,475.91
.,1,122,0,0,2,0,0,0,0,0,0,2,10,1,.,450.45
.,1,123,0,0,2,0,0,0,0,0,0,2,10,1,.,426.34
.,1,124,0,0,2,0,0,0,0,0,0,2,10,1,.,403.52
.,1,125,0,0,2,0,0,0,0,0,0,2,10,1,.,381.93
.,1,126,0,0,2,0,0,0,0,0,0,2,10,1,.,361.49
.,1,127,0,0,2,0,0,0,0,0,0,2,10,1,.,342.15
.,1,128,0,0,2,0,0,0,0,0,0,2,10,1,.,323.84
.,1,129,0,0,2,0,0,0,0,0,0,2,10,1,.,306.51
.,1,130,0,0,2,0,0,0,0,0,0,2,10,1,.,290.1
.,2,0,1,100,2,0,24,3,0,12.13,0,2,10,2.23,.,0
.,2,0,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,1,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,2,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,3,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,4,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,5,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,6,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,7,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,8,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,9,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,10,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,11,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,12,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,0
.,2,13,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,10629
.,2,14,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,10060
.,2,15,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,9521.9
.,2,16,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,9012.3
.,2,17,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,8530
.,2,18,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,8073.5
.,2,19,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,7641.5
.,2,20,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,7232.5
.,2,21,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,6845.5
.,2,22,0,0,2,0,0,0,0,12.13,0,2,10,2.23,.,6479.2
